"geraet" "raum" "kategorie" "start" "ende" "tag" "dauer" "Functiontyp" "Station" "wartezeit"
"1" "1" "A701" "ultraschall" 1 4 1 3 "patient_room" "7" NA
"2" "2" "A701" "ultraschall" 1 2 1 1 "patient_room" "7" NA
"3" "2" "A702" "ultraschall" 3 8 1 5 "patient_room" "7" NA
"4" "3" "A703" "ultraschall" 2 4 2 2 "patient_room" "7" NA
"5" "4" "A701" "ultraschall" 12 18 2 6 "patient_room" "7" NA
"6" "1" "A702" "ultraschall" 15 16 2 1 "patient_room" "7" NA
"7" "1" "A701" "ultraschall" 14 15 2 1 "patient_room" "7" NA
"8" "1" "A702" "ultraschall" 17 19 2 2 "patient_room" "7" NA
"9" "2" "A701" "ultraschall" 2 4 3 2 "patient_room" "7" NA
"10" "2" "A701" "ultraschall" 5 7 3 2 "patient_room" "7" NA
"11" "3" "A701" "ultraschall" 8 11 3 3 "patient_room" "7" NA
"12" "4" "A702" "ekg" 14 15 3 1 "patient_room" "7" NA
"13" "1" "A701" "ekg" 15 17 3 2 "patient_room" "7" NA
"14" "1" "A701" "ekg" 13 16 3 3 "patient_room" "7" NA
"15" "1" "A701" "ekg" 11 17 3 6 "patient_room" "7" NA
"16" "2" "A701" "ekg" 10 15 4 5 "patient_room" "7" NA
"17" "2" "A701" "ultraschall" 11 11.5 4 0.5 "patient_room" "7" NA
"18" "3" "A721" "patient" 10 11 2 1 "doctors_room" "7" 0.5
"19" "4" "A721" "arzt" 10.5 11 2 0.5 "doctors_room" "7" NA
"20" "7" "A821" "patient" 14 15 7 1 "doctors_room" "8" 0
"21" "3" "A821" "arzt" 14 15 7 1 "doctors_room" "8" NA
"22" "2" "A821" "arzt" 7 9 6 2 "doctors_room" "8" NA
"23" "9" "A821" "patient" 8 9 6 1 "doctors_room" "8" 0
"24" "4" "A721" "patient" 21 22 29 1 "doctors_room" "7" 1
"25" "2" "A821" "patient" 3.15 5 15 1.85 "doctors_room" "8" 1.3
"26" "4" "A821" "arzt" 4.45 5 15 0.55 "doctors_room" "8" NA
"27" "3" "A721" "patient" 11 12 12 1 "doctors_room" "7" 0
"28" "7" "A721" "patient" 14 15.2 13 1.2 "doctors_room" "7" 0.0999999999999996
"29" "8" "A721" "patient" 15 16.3 14 1.3 "doctors_room" "7" 0.199999999999999
"30" "6" "A721" "patient" 15 16.5 15 1.5 "doctors_room" "7" 0
"31" "3" "A721" "arzt" 11 12 12 1 "doctors_room" "7" NA
"32" "5" "A721" "arzt" 14.1 15.2 13 1.1 "doctors_room" "7" NA
"33" "4" "A721" "arzt" 15.2 16.3 14 1.1 "doctors_room" "7" NA
"34" "1" "A721" "arzt" 15 16.5 15 1.5 "doctors_room" "7" NA
"35" "3" "A721" "arzt" 11.3 12 21 0.699999999999999 "doctors_room" "7" NA
"36" "5" "A721" "arzt" 14.4 15.2 22 0.799999999999999 "doctors_room" "7" NA
"37" "4" "A721" "arzt" 15.3 17.7 23 2.4 "doctors_room" "7" NA
"38" "1" "A721" "arzt" 15 16.5 24 1.5 "doctors_room" "7" NA
"39" "3" "A721" "patient" 11 12 21 1 "doctors_room" "7" 0.300000000000001
"40" "5" "A721" "patient" 14.1 15.2 22 1.1 "doctors_room" "7" 0.300000000000001
"41" "4" "A721" "patient" 15.2 17.7 23 2.5 "doctors_room" "7" 0.100000000000001
"42" "1" "A721" "patient" 15 16.5 24 1.5 "doctors_room" "7" 0
"43" "5" "A821" "arzt" 12 15 25 3 "doctors_room" "8" NA
"44" "5" "A821" "patient" 13.4 15 25 1.6 "doctors_room" "8" 0
"45" "5" "A821" "arzt" 13.4 15 26 1.6 "doctors_room" "8" NA
"46" "5" "A821" "patient" 12 15 26 3 "doctors_room" "8" 1.4
"47" "5" "A821" "arzt" 15.5 19 27 3.5 "doctors_room" "8" NA
"48" "5" "A821" "patient" 14 20 27 6 "doctors_room" "8" 1.5
"49" "5" "A821" "arzt" 10.1 15 28 4.9 "doctors_room" "8" NA
"50" "5" "A821" "patient" 9 14 28 5 "doctors_room" "8" 1.1
"51" "5" "A821" "arzt" 7 9 29 2 "doctors_room" "8" NA
"52" "5" "A821" "patient" 5 9 29 4 "doctors_room" "8" 2
"53" "15" "N101" "patient" 10 10.2 1 0.199999999999999 "1emergency_reception" "1" 0.0999999999999996
"54" "15" "N201" "patient" 10.2 10.7 1 0.5 "2emergency_waiting_room" "1" NA
"55" "15" "N301" "patient" 10.7 11.6 1 0.9 "3emergency_trauma_room" "1" 0.200000000000001
"56" "15" "N401" "patient" 11.6 12.5 1 0.9 "4emergency_treatment" "1" 0.200000000000001
"57" "5" "N101" "schwester" 10.1 10.2 1 0.0999999999999996 "1emergency_reception" "1" NA
"58" "9" "N301" "arzt" 10.9 11.6 1 0.699999999999999 "3emergency_trauma_room" "1" NA
"59" "11" "N401" "arzt" 11.8 12.5 1 0.699999999999999 "4emergency_treatment" "1" NA
"60" "1" "Transport" "ultraschall" 0 0 0 0.600000000000004 "hall_section" NA NA
"61" "2" "Transport" "ultraschall" 0 0 0 0.500000000000002 "hall_section" NA NA
"62" "3" "Transport" "ultraschall" 0 0 0 0.500000000000002 "hall_section" NA NA
"63" "4" "Transport" "ultraschall" 0 0 0 0.500000000000002 "hall_section" NA NA
"64" "5" "Transport" "ultraschall" 0 0 0 2.4 "hall_section" NA NA
