Identifier;Path_ID;X;Y;Yreverse
A701;1;69;782;162
A701;2;68;517;427
A701;3;192;519;425
A701;4;193;782;162
A701;5;87;782;162
A702;1;202;784;160
A702;2;201;520;424
A702;3;323;520;424
A702;4;324;783;161
A702;5;221;784;160
A703;1;334;784;160
A703;2;335;522;422
A703;3;456;523;421
A703;4;456;781;163
A703;5;348;781;163
A704;1;466;784;160
A704;2;467;523;421
A704;3;588;523;421
A704;4;588;782;162
A704;5;474;781;163
A705;1;600;782;162
A705;2;601;524;420
A705;3;720;524;420
A705;4;721;783;161
A705;5;612;784;160
A706;1;732;782;162
A706;2;732;523;421
A706;3;851;524;420
A706;4;851;781;163
A706;5;747;782;162
A707;1;876;781;163
A707;2;876;523;421
A707;3;994;523;421
A707;4;994;781;163
A707;5;891;781;163
A708;1;1008;781;163
A708;2;1006;527;417
A708;3;1126;527;417
A708;4;1125;782;162
A708;5;1017;781;163
A709;1;1139;782;162
A709;2;1142;523;421
A709;3;1260;523;421
A709;4;1259;782;162
A709;5;1150;781;163
A710;1;1272;782;162
A710;2;1273;523;421
A710;3;1392;523;421
A710;4;1392;781;163
A710;5;1280;782;162
A711;1;1405;782;162
A711;2;1407;521;423
A711;3;1525;522;422
A711;4;1526;780;164
A711;5;1415;782;162
A712;1;1536;782;162
A712;2;1536;523;421
A712;3;1658;521;423
A712;4;1657;782;162
A712;5;1551;782;162
A713;1;1672;535;409
A713;2;1671;431;513
A713;3;1845;429;515
A713;4;1845;541;403
A713;5;1673;541;403
A714;1;1671;418;526
A714;2;1815;418;526
A714;3;1815;367;577
A714;4;1743;366;578
A714;5;1743;376;568
A714;6;1673;376;568
A714;7;1672;413;531
A716;1;1359;407;537
A716;2;1554;406;538
A716;3;1554;262;682
A716;4;1362;262;682
A716;5;1362;398;546
A717;1;1348;260;684
A717;2;1236;260;684
A717;3;1239;425;519
A717;4;1350;424;520
A717;5;1347;271;673
A718;1;1119;382;562
A718;2;1225;382;562
A718;3;1225;262;682
A718;4;1118;261;683
A718;5;1119;370;574
A719;1;996;405;539
A719;2;995;345;599
A719;3;1107;345;599
A719;4;1107;406;538
A719;5;1008;407;537
A720;1;877;427;517
A720;2;878;261;683
A720;3;1105;259;685
A720;4;1105;337;607
A720;5;986;337;607
A720;6;986;409;535
A720;7;973;409;535
A720;8;972;428;516
A720;9;888;430;514
A721;1;742;424;520
A721;2;853;424;520
A721;3;853;261;683
A721;4;741;262;682
A721;5;741;419;525
A722;1;623;424;520
A722;2;623;259;685
A722;3;733;261;683
A722;4;732;424;520
A722;5;629;424;520
A723;1;504;422;522
A723;2;615;422;522
A723;3;612;261;683
A723;4;502;263;681
A723;5;501;415;529
A724;1;381;424;520
A724;2;382;267;677
A724;3;492;269;675
A724;4;492;423;521
A724;5;393;424;520
A725;1;308;409;535
A725;2;372;409;535
A725;3;372;261;683
A725;4;309;262;682
A725;5;309;402;542
A726;1;237;424;520
A726;2;237;381;563
A726;3;303;380;564
A726;4;303;422;522
A726;5;242;422;522
A730;1;1586;376;568
A730;2;1647;376;568
A730;3;1648;354;590
A730;4;1815;354;590
A730;5;1816;261;683
A730;6;1585;261;683
A730;7;1585;371;573
A727.1;1;68;504;440
A727.1;2;196;502;442
A727.1;3;196;432;512
A727.1;4;66;431;513
A727.1;5;66;492;452
A727.2;1;199;501;443
A727.2;2;199;432;512
A727.2;3;328;432;512
A727.2;4;328;503;441
A727.2;5;209;502;442
A727.3;1;330;502;442
A727.3;2;460;501;443
A727.3;3;461;431;513
A727.3;4;333;432;512
A727.3;5;333;496;448
A727.4;1;465;502;442
A727.4;2;465;432;512
A727.4;3;592;432;512
A727.4;4;592;501;443
A727.4;5;474;501;443
A727.5;1;596;499;445
A727.5;2;726;499;445
A727.5;3;725;432;512
A727.5;4;595;432;512
A727.5;5;595;491;453
A727.6;1;728;501;443
A727.6;2;862;501;443
A727.6;3;862;434;510
A727.6;4;730;435;509
A727.6;5;731;496;448
A727.7;1;865;500;444
A727.7;2;979;501;443
A727.7;3;979;434;510
A727.7;4;866;434;510
A727.7;5;867;495;449
A728.1;1;985;501;443
A728.1;2;1133;501;443
A728.1;3;1133;432;512
A728.1;4;984;433;511
A728.1;5;985;495;449
A728.2;1;1137;500;444
A728.2;2;1265;501;443
A728.2;3;1264;433;511
A728.2;4;1137;433;511
A728.2;5;1137;492;452
A728.3;1;1268;500;444
A728.3;2;1392;500;444
A728.3;3;1392;434;510
A728.3;4;1270;435;509
A728.3;5;1270;495;449
A728.4;1;1396;498;446
A728.4;2;1396;435;509
A728.4;3;1531;433;511
A728.4;4;1531;500;444
A728.4;5;1395;503;441
A728.5;1;1534;501;443
A728.5;2;1534;432;512
A728.5;3;1663;432;512
A728.5;4;1663;501;443
A728.5;5;1537;501;443
A728.6;1;1585;428;516
A728.6;2;1585;380;564
A728.6;3;1657;381;563
A728.6;4;1657;429;515
A728.6;5;1591;429;515
